Frequency,Harmonic,Voltage Magnitude, Voltage Phase, Current Magnitude,Current Phase,Impedance Magnitude,Impedance Phase,Z Real,Z Imaginary
100,100,0.010787871711117239,99.2047065432636,0.02158389030459783,106.59295308606214,0.4998112740046307,-7.388246542798541,0.49566162198995944,0.06427181426110962
100,300,0.009091536059767926,137.8288416177172,0.019463553463416425,142.57165445016005,0.46710566376567986,-4.742812832442866,0.4655062388997995,0.038621790058711566
100,500,0.007778409637760349,0.3045069399775164,0.01720320070580093,3.048825468152785,0.45214897918022107,-2.7443185281752687,0.4516304271968938,0.02164847809124729
100,700,0.006870719984713586,44.72498267400181,0.015315453580365334,46.590634760607024,0.4486135489661216,-1.8656520866052162,0.44837574446582884,0.014605070718504923
100,900,0.006146995645777126,90.29967007159384,0.013838172633926919,91.35476493029348,0.4442057349903696,-1.055094858699647,0.444130420309251,0.008179532643282009
100,1100,0.0056229555461371995,136.68018615921085,0.012814250517605236,136.84604672460125,0.43880487106225496,-0.16586056539040328,0.4388030324838317,0.001270256255865816
100,1300,0.005255462830113401,2.986432322973343,0.01202758079284519,2.3489998072945184,0.4369509480443234,0.6374325156788245,0.4369239071299791,-0.004861108423646143
100,1500,0.004900212663353298,49.826141402559706,0.011261024598503252,48.329779546688656,0.4351480294257243,1.4963618558710508,0.43499963747856324,-0.011363226065230962
100,1700,0.0045770326109547295,95.69860728791758,0.01054333200135441,93.73908184382925,0.4341163315702055,1.959525444088328,0.43386247386690224,-0.014843958571222561
100,1900,0.004375877140543499,143.01941167298676,0.01007486056121304,140.01194774714466,0.43433624852239466,3.007463925842103,0.43373804088691986,-0.022787906180340562
