Frequency,Harmonic,Voltage Magnitude, Voltage Phase, Current Magnitude,Current Phase,Impedance Magnitude,Impedance Phase,Z Real,Z Imaginary
0.1,0.1,0.009030673428987897,160.54291452012063,0.14551124087390327,160.1969218425948,0.062061689356450976,0.3459926775258282,0.06206055778800598,-0.00037477035393775326
0.1,0.30000000000000004,0.008050117423540412,121.3904252332393,0.13889498783304643,122.29809430528951,0.05795830036154189,-0.9076690720502114,0.0579510278172799,0.000918126200235207
0.1,0.5,0.007241457313554931,87.46537709046851,0.12786362213924085,85.33864725401915,0.05663422631394825,2.126729836449357,0.056595216085345464,-0.002101691326661143
0.1,0.7000000000000001,0.006089224726085458,51.31976523513267,0.10704234777831378,46.346608322791525,0.05688612827043301,4.973156912341146,0.05667197596076801,-0.0049314024680905824
0.1,0.9,0.004986782972092897,23.474424053070233,0.09003081944224887,15.020223279242648,0.05538973212713805,8.454200773827585,0.05478785059412652,-0.008143331774634945
0.1,1.1,0.004535779778315548,176.91819991861703,0.07761582562746527,163.7370529274079,0.05843885240731767,13.181146991209147,0.05689922172113134,-0.013325840994616187
0.1,1.3,0.004153842348631911,151.04684092416613,0.06637743339543013,138.48846455321151,0.06257913474729032,12.558376370954619,0.06108192762083917,-0.01360684474233769
0.1,1.5,0.0032789038379254717,121.65681140929473,0.0524725955748719,105.45445023486211,0.06248792921339067,16.202361174432625,0.060006045361332465,-0.01743604936536468
0.1,1.7000000000000002,0.0031998873928998205,95.25499023139233,0.0485661040185024,78.32565694531763,0.06588725732829523,16.929333286074694,0.06303200865841961,-0.019185842768299446
10,10,0.008897833811792,156.63676294891334,0.14574647610017413,155.79083054103873,0.06105007853278293,0.8459324078746135,0.061043424661371255,-0.0009013292797059337
10,30,0.007958940404761028,107.8256617432636,0.1387989800471775,109.32752786809753,0.057341490564669854,-1.5018661248339384,0.05732179214915953,0.0015028922072706514
10,50,0.007147850010434941,65.77443094984733,0.12780272365767362,63.71042739461184,0.05592877683562392,2.0640035552354874,0.05589249126334272,-0.002014323386693467
10,70,0.006143971375602467,19.538506693823933,0.10689631000190927,16.09858313833311,0.05747599122451215,3.4399235554908216,0.05737243449293081,-0.0034486704096740157
10,90,0.004996565632661723,164.21975363115652,0.09007141138867904,156.03850825946984,0.05547338001733295,8.181245371686686,0.05490881991852614,-0.007894136159346475
100,100,0.008964800229709016,149.15705278176992,0.1455381051887834,148.1322809036007,0.06159761540168747,1.0247718781692186,0.06158776324160453,-0.0011016542426149046
10,110,0.004451645039147891,129.6181474519018,0.07747914054653111,116.05923201933088,0.057456045688508865,13.558915432570913,0.05585470903343791,-0.013470288228171215
10,130,0.004090175415976387,94.44332674050894,0.06643192128516899,82.31704183766574,0.0615694283237526,12.126284902843196,0.06019562780136862,-0.012933711675803119
10,150,0.0032487587808443714,56.04334233492575,0.05250328958194889,40.46260245661802,0.061877242487322626,15.580739878307725,0.05960343391703894,-0.016619982043675503
10,170,0.0032329322173548797,21.466302256255773,0.048705546724076794,4.810975598580862,0.06637708505090514,16.655326657674912,0.06359231793597624,-0.019024576720253462
100,300,0.007909453673006635,84.85710303142234,0.138796956083517,86.35984308512627,0.05698578626066809,-1.5027400537039313,0.05696618725165014,0.0014944382745636817
100,500,0.007281291984493497,27.338632876198744,0.1278130294230945,25.398225624015822,0.056968307670656325,1.940407252182922,0.05693564119161796,-0.0019289481480581187
100,700,0.006141917306148641,147.35812908839728,0.10697998496235449,142.4647785676526,0.057411835571952445,4.89335052074469,0.05720258106110938,-0.004897303716139633
100,900,0.004992855078216302,95.37521084960716,0.09003997362061596,87.16481519124811,0.055451538660525726,8.210395658359047,0.054883179034351505,-0.007918951881600168
100,1100,0.004521237442684828,44.77873475040011,0.07766689988756931,31.88300171439434,0.058213182826014384,12.895733036005772,0.05674491930476462,-0.012991873915287487
100,1300,0.0040917525276579015,175.33036536373686,0.06639630686746346,162.63944760419267,0.0616262066476924,12.690917759544192,0.06012064024866603,-0.013538757767039257
100,1500,0.0032808101860702515,121.52283712418482,0.05253920601576782,105.62883848022008,0.06244498984407244,15.893998643964736,0.0600577178635752,-0.017101090071849526
100,1700,0.0032003201434611084,70.48427711855906,0.0485919459899079,54.560136133345694,0.06586112324305318,15.92414098521337,0.06333375495185577,-0.018069948492868616
